Fold,Model,Chain,label,RMSE
4,CLUS (30),,disparate_parity,0.1359318758149568
4,CLUS (30),,equal_opportunity,0.16990525897144512
4,CLUS (30),,group_fairness,0.079264214
4,CLUS (30),,all,0.1283671161358268
5,CLUS (30),,disparate_parity,0.13863568841610815
5,CLUS (30),,equal_opportunity,0.16547146561780116
5,CLUS (30),,group_fairness,0.074457218
5,CLUS (30),,all,0.1261881239878483
6,CLUS (30),,disparate_parity,0.1418340210587413
6,CLUS (30),,equal_opportunity,0.1705189065891579
6,CLUS (30),,group_fairness,0.071263961
6,CLUS (30),,all,0.12787229629122782
7,CLUS (30),,disparate_parity,0.13729363041874273
7,CLUS (30),,equal_opportunity,0.16863070307388942
7,CLUS (30),,group_fairness,0.070999951
7,CLUS (30),,all,0.1256414280704805
8,CLUS (30),,disparate_parity,0.13722308129473115
8,CLUS (30),,equal_opportunity,0.16424530761208175
8,CLUS (30),,group_fairness,0.074462446
8,CLUS (30),,all,0.12531027839944656
9,CLUS (30),,disparate_parity,0.14182834727172478
9,CLUS (30),,equal_opportunity,0.1674458278032057
9,CLUS (30),,group_fairness,0.074260493
9,CLUS (30),,all,0.12784488921339174
0,CLUS (50),,disparate_parity,0.14752002989532206
0,CLUS (50),,equal_opportunity,0.1766965355239264
0,CLUS (50),,group_fairness,0.072763244
0,CLUS (50),,all,0.13232660330109922
1,CLUS (50),,disparate_parity,0.14545153599726895
1,CLUS (50),,equal_opportunity,0.16451984256019567
1,CLUS (50),,group_fairness,0.07285084
1,CLUS (50),,all,0.12760740608209523
2,CLUS (50),,disparate_parity,0.13689515907309038
2,CLUS (50),,equal_opportunity,0.16248925325343572
2,CLUS (50),,group_fairness,0.073872914
2,CLUS (50),,all,0.124419109
3,CLUS (50),,disparate_parity,0.14343522365069225
3,CLUS (50),,equal_opportunity,0.1711736814133183
3,CLUS (50),,group_fairness,0.075225709
3,CLUS (50),,all,0.12994487128324342
4,CLUS (50),,disparate_parity,0.135664555
4,CLUS (50),,equal_opportunity,0.16926877112607167
4,CLUS (50),,group_fairness,0.078790483
4,CLUS (50),,all,0.1279079363287482
5,CLUS (50),,disparate_parity,0.1382918046363782
5,CLUS (50),,equal_opportunity,0.16533164025267474
5,CLUS (50),,group_fairness,0.074078098
5,CLUS (50),,all,0.1259005143768251
6,CLUS (50),,disparate_parity,0.1418860442128707
6,CLUS (50),,equal_opportunity,0.17061384818239367
6,CLUS (50),,group_fairness,0.070826447
6,CLUS (50),,all,0.1277754465901388
