Fold,Model,Chain,Target,RMSE
4,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.1288440468428665
4,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.1631543404942207
4,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.08421615315785755
4,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.12976886610712016
4,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.1631543404942207
4,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.08392320422656316
4,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.12544370383691913
4,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.1656786755378766
4,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.08092792772427652
4,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.12927877679026537
4,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.16388678424537045
4,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.08092792772427652
4,Ensemble,,disparate_parity,0.12587393992757787
4,Ensemble,,equal_opportunity,0.16321584598386632
4,Ensemble,,group_fairness,0.08209943426047452
5,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.12718847993353713
5,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.1551645620641863
5,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.07935672402671347
5,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.12718847993353713
5,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.15527368841495026
5,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.07706800093503588
5,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.12683812572871445
5,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.15550313974493407
5,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.07886099655821228
5,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.1275015525296188
