,Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
187,Lasso,7.0,Group Size Disparity,0.2928461173770046,0.130462753790265,0.3611962815288455,8396731751126.878,0.6550917572039376,0.0568414155314051
188,Lasso,8.0,Group Size Disparity,0.3037797933889927,0.1367354152888956,0.3697775213407321,5986110614842.147,0.6764587155406188,0.0593832474595575
189,Lasso,9.0,Group Size Disparity,0.290730315481431,0.1285482871557615,0.3585363121857555,1194857967560.9346,0.6374768022122831,0.0554784025655541
190,Lasso,0.0,Prevalence Disparity,0.0727213680889553,0.008935299094732,0.0945267110119253,46.35073332809044,0.8982662924508652,0.0067292782705431
191,Lasso,1.0,Prevalence Disparity,0.075544526646915,0.0099953572140954,0.0999767833754188,11.932153064218612,0.901824549726911,0.007380780095342
192,Lasso,2.0,Prevalence Disparity,0.0723785992379429,0.0085586549600912,0.0925129988709223,409744251400.65015,0.9061387403320345,0.0065011803195591
193,Lasso,3.0,Prevalence Disparity,0.0740767383366296,0.0092719234744188,0.0962908275715754,12.200283685715888,0.9008171345624604,0.0069509825840982
194,Lasso,4.0,Prevalence Disparity,0.0705886859662209,0.0084281742951261,0.0918050886123754,8.390265841810557,0.8724461702092018,0.0063866836395969
195,Lasso,5.0,Prevalence Disparity,0.0740530625421889,0.0093703939732993,0.0968007953133619,612937971257.2322,0.9066179039286724,0.0070138068359763
196,Lasso,6.0,Prevalence Disparity,0.0757100646088143,0.0100887817334705,0.1004429277424278,83.03601253190135,0.9142632660333748,0.0074495710495262
197,Lasso,7.0,Prevalence Disparity,0.0747083273601045,0.0098207987233477,0.0990999431046647,9.411960870562009,0.8912405737956848,0.0072837763562031
198,Lasso,8.0,Prevalence Disparity,0.0728770590217743,0.0090491572291652,0.0951270583439077,408688705819.0048,0.8943457435970779,0.0068018154807998
199,Lasso,9.0,Prevalence Disparity,0.0737843776019245,0.0091267918345779,0.0955342443031707,33.782298245317975,0.9152531798678356,0.0068625395778341
200,Lasso,0.0,equal_opportunity,0.1296408556378352,0.0346845390392328,0.1862378560852569,3802232327453.311,0.8359905017931286,0.0198496677517724
201,Lasso,1.0,equal_opportunity,0.1277624987397352,0.0323237753135571,0.1797881400803656,2765722368995.209,0.8356264195507577,0.0188888460000679
202,Lasso,2.0,equal_opportunity,0.1211353308698088,0.0282175173269092,0.1679807052220858,1047069625914.5931,0.831157246188287,0.0169015290240867
203,Lasso,3.0,equal_opportunity,0.1263061990186667,0.0317465495078147,0.1781756142344253,4163434736261.3887,0.8376447045640036,0.0186056456741217
204,Lasso,4.0,equal_opportunity,0.1283311891179742,0.0343826811403132,0.1854256755153213,3810467247203.276,0.8371406823911702,0.0196547210884903
205,Lasso,5.0,equal_opportunity,0.1239536136106675,0.0306223230332469,0.1749923513564149,1741815848900.649,0.8373602962311587,0.0179156183673565
206,Lasso,6.0,equal_opportunity,0.1298839393765221,0.0344786401491325,0.1856842485218727,2772364220467.426,0.8476171652909923,0.019834672199206
207,Lasso,7.0,equal_opportunity,0.127804544665225,0.0339953320155205,0.1843782308612395,3120695167842.2573,0.8348981921820191,0.019433958873597
208,Lasso,8.0,equal_opportunity,0.1224722107385845,0.0289668131236653,0.1701963957422874,3483625072122.188,0.8346551653023605,0.0173314075949643
209,Lasso,9.0,equal_opportunity,0.1255030892759021,0.0315867597840779,0.1777266434277032,2435800795904.937,0.842939397735383,0.0184070472227303
210,Lasso,0.0,disparate_parity,0.1216881124606081,0.0256992730137465,0.1603099279949514,3638564836610.653,0.825132573758364,0.0161123259441905
211,Lasso,1.0,disparate_parity,0.1254676694802156,0.0276489279457963,0.1662796678665084,2539051787725.9023,0.8322332711672532,0.0170119565276348
212,Lasso,2.0,disparate_parity,0.1188178637655806,0.0242413108165112,0.1556962132375455,1093457716905.3412,0.8115712609304776,0.0153712510442143
213,Lasso,3.0,disparate_parity,0.1229152055933577,0.0261634593710165,0.1617512267991082,2901861776121.543,0.8183318502068005,0.0163264777145277
214,Lasso,4.0,disparate_parity,0.1192349484782083,0.024853770114274,0.157650785327172,2907108016541.654,0.7997482524310869,0.0155856813952157
215,Lasso,5.0,disparate_parity,0.1223253627988983,0.0264704015742261,0.1626972697196427,1454804292026.745,0.8169491663812762,0.0164293207887507
216,Lasso,6.0,disparate_parity,0.1256001002603499,0.0286540825438515,0.1692751681253088,2902343480664.136,0.8318541098345918,0.0174180294294089
217,Lasso,7.0,disparate_parity,0.1240901342003217,0.028112481942358,0.167667772521609,2900073439140.871,0.8138446628142022,0.017141640812949
218,Lasso,8.0,disparate_parity,0.1204971903189303,0.0255833268905924,0.1599478880466774,3274290571740.0293,0.8084221633122961,0.0160049116576724
