,Chain_Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
125,EnsembleTree(3),2,group_fairness,0.0808067466002851,0.015130287572931,0.1230052339249473,0.3533408130229231,0.2594671570536832,0.0047978522693945
126,AverageEnsemble(4),2,disparate_parity,0.0911059292578465,0.0157126346220715,0.1253500483528885,339057094636.5375,0.6780475317808323,0.0099501525504134
127,AverageEnsemble(4),2,equal_opportunity,0.1040121617849153,0.0224646331124555,0.1498820640118609,506821934030.45154,0.726883888294313,0.0134998678781621
128,AverageEnsemble(4),2,group_fairness,0.0564083452661398,0.0089521766938896,0.0946159431274118,0.1828661266681013,0.1555329761103108,0.0026399790586977
129,EnsembleTree(4),2,disparate_parity,0.1017214894705227,0.0183986808148867,0.135641736994506,759189386386.633,0.7392752194027354,0.0118163546036615
130,EnsembleTree(4),2,equal_opportunity,0.1145720813094134,0.0291592529277716,0.1707608061815465,634325877609.2441,0.7612116976540005,0.0171992296182555
131,EnsembleTree(4),2,group_fairness,0.055656252338907,0.0076635697387054,0.0875418170859242,0.2898344898992585,0.2024668299029032,0.0024254520623527
132,AverageEnsemble(5),2,disparate_parity,0.0912198019153704,0.0156659584175192,0.1251637264446821,356726757434.2895,0.6794272108684193,0.0099247701863718
133,AverageEnsemble(5),2,equal_opportunity,0.104350082070227,0.0224352381800965,0.1497839717062428,535733421371.33856,0.7301613519422806,0.013478948842348
134,AverageEnsemble(5),2,group_fairness,0.0593924609621529,0.0097550608852668,0.0987677117547371,0.1895044665850173,0.1614319460411821,0.0028897224065544
135,EnsembleTree(5),2,disparate_parity,0.1016829713161116,0.018377184557175,0.1355624747383104,759189386386.62,0.7398245075641869,0.0118136837717303
136,EnsembleTree(5),2,equal_opportunity,0.1145128955964261,0.0291193539849717,0.1706439391978857,634325877609.256,0.7620447436223867,0.0172016252119193
137,EnsembleTree(5),2,group_fairness,0.055715605082894,0.0076687836724117,0.0875715916973749,0.2908110095695963,0.2032972969335872,0.0024276738705944
138,AverageEnsemble(6),2,disparate_parity,0.0911282189670812,0.0157789799368698,0.1256144097501152,307300942835.0731,0.6767978657203828,0.0099998891568933
139,AverageEnsemble(6),2,equal_opportunity,0.1036872088286681,0.0224775092333791,0.1499250120339471,478895438652.90814,0.7246665446236789,0.0135126088612085
140,AverageEnsemble(6),2,group_fairness,0.0535907022334801,0.0083252036371159,0.0912425538721704,0.1693780104520424,0.1461778048557236,0.0024057077921706
141,EnsembleTree(6),2,disparate_parity,0.1010365349148273,0.0181946915616852,0.1348876998161257,759189386386.5951,0.7355217834931391,0.0116556907835054
142,EnsembleTree(6),2,equal_opportunity,0.1141145687410359,0.0286352721667184,0.1692195974664826,634325877609.2452,0.7622472702753476,0.0169303789652771
143,EnsembleTree(6),2,group_fairness,0.0588735772213011,0.0090854730889912,0.095317748027276,0.302161797234543,0.208928063827468,0.0027281664541282
144,LightGBM(DEG),3,disparate_parity,0.0964461864247736,0.0175838119994084,0.1326039667559326,1923099856626.838,0.6885403555235586,0.0109140820937261
145,LightGBM(DEG),3,equal_opportunity,0.111745971842836,0.0264268478958673,0.1625633657865983,4181868513371.957,0.7481103900419207,0.0154050583007485
146,LightGBM(DEG),3,group_fairness,0.0740848486595423,0.0143343630550778,0.1197262003701691,0.2516067045508915,0.1953666171953645,0.0043154216607137
147,LightGBM(DGE),3,disparate_parity,0.0964461864111619,0.0175838120027291,0.1326039667684536,1923099822989.1736,0.6885403552980669,0.0109140820957028
148,LightGBM(DGE),3,equal_opportunity,0.1117214982980132,0.0262479045340518,0.1620120505828248,4108055698733.24,0.7491618858054885,0.0153147855259654
149,LightGBM(DGE),3,group_fairness,0.0744060151024342,0.0144059734432993,0.1200248867664508,0.2506153995784919,0.1955038660033311,0.0043508182815068
150,LightGBM(EDG),3,disparate_parity,0.0955127121900274,0.0177102664129257,0.1330799249057714,1917592374115.8325,0.6791028713671601,0.0109325059282142
151,LightGBM(EDG),3,equal_opportunity,0.1079744309820808,0.0259942943155447,0.1612274614187817,3455205022329.626,0.7278555640233285,0.0151746207341285
152,LightGBM(EDG),3,group_fairness,0.0600117607295716,0.0091895753401619,0.0958622727675593,0.2121498374892518,0.1710377994954335,0.0028868546803277
153,LightGBM(EGD),3,disparate_parity,0.0957701794417852,0.0176624842653776,0.132900279402933,1963191907314.757,0.6803783265756397,0.0109327207095815
154,LightGBM(EGD),3,equal_opportunity,0.1079969026617627,0.0260082566052563,0.1612707555797279,3455204938219.299,0.7278660882168781,0.0151836917051725
155,LightGBM(EGD),3,group_fairness,0.0603033251836187,0.0092779258659856,0.0963219905628288,0.2062816158943645,0.1680849913798501,0.0029090040978855
156,LightGBM(GDE),3,disparate_parity,0.1028063510346731,0.0215806437963157,0.1469035186655368,723641716540.783,0.7084446876680313,0.0133073108525804
157,LightGBM(GDE),3,equal_opportunity,0.1130493910825479,0.0300593403903538,0.173376297083407,2565671466695.145,0.759930649043577,0.0177641195498494
158,LightGBM(GDE),3,group_fairness,0.0401299252333851,0.0058635547248556,0.0765738514432679,0.1296514375822823,0.1200277476553399,0.001577873282443
159,LightGBM(GED),3,disparate_parity,0.1025131066789833,0.0210477905752181,0.1450785669050329,1092292942023.3127,0.7135284214615816,0.0129273608602197
160,LightGBM(GED),3,equal_opportunity,0.1115716324207638,0.0304103174239932,0.1743855424741205,1913427636886.028,0.733096193949124,0.0177743304970048
161,LightGBM(GED),3,group_fairness,0.0401299253704486,0.0058635547518512,0.0765738516195392,0.1296514380410074,0.120027742496194,0.0015778732841914
162,AverageEnsemble(2),3,disparate_parity,0.0964461864179678,0.0175838120010688,0.1326039667621931,1923099839808.006,0.6885403554108127,0.0109140820947145
163,AverageEnsemble(2),3,equal_opportunity,0.1117096056136027,0.0263119059282089,0.162209450798062,4144962106052.599,0.7486755533562706,0.0153431027021701
164,AverageEnsemble(2),3,group_fairness,0.074173824337977,0.0143203839708482,0.1196678067437029,0.250968301633254,0.195311628876829,0.0043192321282299
165,EnsembleTree(2),3,disparate_parity,0.1028637627189858,0.0194363562777618,0.1394143331145037,1758368447068.0576,0.7234584169874669,0.0121571223601641
166,EnsembleTree(2),3,equal_opportunity,0.1187633324173971,0.0297009733488836,0.1723397033445388,4118140751837.5767,0.7731643069492211,0.0174596609580865
